movement_id,employee_id,movement_date,movement_type,old_department,new_department,old_sub_department,new_sub_department,old_job_level,new_job_level,old_manager_id,new_manager_id,old_location,new_location,country,business_unit,segment
MOV00000029,229,2016-08-15,Lateral Move,Visual Merchandising,Regional Operations,Merchandising,Region Southeast,IC1,IC1,238,174,STORE-BR-012,STORE-BR-038,BR,Retail,retail_ops
MOV00000030,260,2016-08-15,Lateral Move,Logistics,Store Operations,Reverse Logistics,Cashier,IC3,IC3,303,129,DC-BR-002,STORE-BR-026,BR,Retail,retail_ops
MOV00000031,308,2016-09-15,Promotion,Store Operations,Store Operations,Cashier,Cashier,IC1,IC2,221,260,STORE-BR-012,STORE-BR-012,BR,Retail,retail_ops
MOV00000032,372,2016-09-15,Promotion,Sales,Sales,Key Accounts,Key Accounts,IC1,IC2,362,343,STORE-AR-001,STORE-AR-001,AR,Retail,retail_ops
MOV00000033,375,2016-09-15,Promotion,Store Operations,Store Operations,Security,Security,IC2,IC3,336,416,STORE-AR-009,STORE-AR-009,AR,Retail,retail_ops
MOV00000034,56,2016-09-15,Promotion,Regional Operations,Regional Operations,Region North,Region North,IC1,IC2,18,472,STORE-BR-022,STORE-BR-022,BR,Retail,retail_ops
MOV00000035,18,2016-09-15,Promotion,Regional Operations,Regional Operations,Region Southeast,Region Southeast,IC2,IC3,34,98,STORE-BR-016,STORE-BR-016,BR,Retail,retail_ops
MOV00000036,357,2016-09-15,Promotion,Distribution Centers,Distribution Centers,Outbound,Outbound,IC2,IC3,339,416,DC-AR-001,DC-AR-001,AR,Supply Chain,supply
MOV00000037,368,2016-09-15,Promotion,Logistics,Logistics,Last Mile,Last Mile,IC1,IC2,364,357,DC-AR-001,DC-AR-001,AR,Supply Chain,supply
MOV00000038,48,2016-09-15,Promotion,Distribution Centers,Distribution Centers,Inventory,Inventory,IC2,IC3,305,297,DC-BR-003,DC-BR-003,BR,Supply Chain,supply
MOV00000039,109,2016-09-15,Promotion,Distribution Centers,Distribution Centers,Inventory,Inventory,IC1,IC2,48,48,DC-BR-001,DC-BR-001,BR,Supply Chain,supply
MOV00000040,199,2016-09-15,Promotion,E-commerce,E-commerce,Checkout,Checkout,IC2,IC3,310,310,HQ-BR-001,HQ-BR-001,BR,Digital,digital
MOV00000041,321,2016-09-15,Promotion,Marketing,Marketing,CRM,CRM,M3,M4,309,309,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000042,183,2016-09-15,Promotion,People,People,Talent Acquisition,Talent Acquisition,IC3,IC4,327,327,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000043,416,2016-09-15,Transfer,Store Operations,Engineering,Security,Frontend,IC5,IC5,363,70,STORE-AR-005,HQ-BR-001,BR,Digital,digital
MOV00000044,429,2016-09-15,Transfer,Store Operations,Sales,Cashier,Floor Sales,IC1,IC1,77,459,STORE-BR-029,STORE-BR-017,BR,Retail,retail_ops
MOV00000045,436,2016-09-15,Transfer,Marketing,Visual Merchandising,Content,Store Design,IC2,IC2,60,294,HQ-BR-001,STORE-BR-031,BR,Retail,retail_ops
MOV00000046,391,2016-09-15,Lateral Move,Customer Service,Sales,Escalations,Floor Sales,IC2,IC2,171,144,SITE-BR-001,STORE-BR-016,BR,Retail,retail_ops
MOV00000047,195,2016-10-15,Transfer,Visual Merchandising,Procurement,Merchandising,Indirect Procurement,IC1,IC1,71,47,STORE-BR-037,HQ-BR-001,BR,Corporate,corporate
MOV00000048,316,2016-10-15,Transfer,Store Operations,Store Operations,Store Management,Security,IC2,IC2,129,260,STORE-BR-026,STORE-BR-018,BR,Retail,retail_ops
MOV00000049,342,2016-10-15,Transfer,Sales,Customer Operations,Key Accounts,Order Support,IC1,IC1,362,288,STORE-AR-003,SITE-BR-004,BR,Customer,customer
MOV00000050,463,2016-10-15,Transfer,Distribution Centers,Sales,Outbound,Floor Sales,IC1,IC1,357,372,DC-AR-001,STORE-AR-010,AR,Retail,retail_ops
MOV00000051,162,2016-10-15,Lateral Move,Strategy,Logistics,PMO,Reverse Logistics,IC4,IC4,193,303,HQ-BR-001,DC-BR-006,BR,Supply Chain,supply
MOV00000052,526,2016-11-15,Transfer,Regional Operations,Planning,Region Southeast,Supply Planning,IC1,IC1,506,355,STORE-AR-008,DC-AR-001,AR,Supply Chain,supply
MOV00000053,410,2016-11-15,Lateral Move,Regional Operations,Customer Service,Region South,Contact Center,IC1,IC1,251,4,STORE-BR-031,SITE-BR-001,BR,Customer,customer
MOV00000054,115,2016-12-15,Transfer,UX,Regional Operations,Product Design,Region North,IC2,IC2,205,518,HQ-BR-001,STORE-BR-023,BR,Retail,retail_ops
MOV00000055,142,2016-12-15,Transfer,Visual Merchandising,Sales,Store Design,Floor Sales,IC2,IC2,294,144,STORE-BR-025,STORE-BR-012,BR,Retail,retail_ops
MOV00000056,331,2016-12-15,Transfer,Store Operations,Procurement,Store Management,Sourcing,IC1,IC1,313,515,STORE-BR-025,DC-BR-003,BR,Supply Chain,supply
MOV00000057,463,2016-12-15,Lateral Move,Sales,Regional Operations,Floor Sales,Region Southeast,IC1,IC1,396,506,STORE-AR-010,STORE-AR-009,AR,Retail,retail_ops
MOV00000058,18,2017-01-15,Transfer,Regional Operations,Regional Operations,Region Southeast,Region South,IC3,IC3,98,98,STORE-BR-016,STORE-BR-029,BR,Retail,retail_ops
MOV00000059,245,2017-01-15,Transfer,Customer Service,E-commerce,Contact Center,Catalog,IC1,IC1,4,106,SITE-BR-004,HQ-BR-001,BR,Digital,digital
MOV00000060,513,2017-01-15,Lateral Move,Customer Operations,Data,Returns,Data Science,IC1,IC1,413,465,SITE-BR-001,HQ-BR-001,BR,Digital,digital
MOV00000061,287,2017-03-15,Promotion,Store Operations,Store Operations,Stockroom,Stockroom,IC1,IC2,21,467,STORE-BR-016,STORE-BR-016,BR,Retail,retail_ops
MOV00000062,224,2017-03-15,Promotion,Visual Merchandising,Visual Merchandising,Merchandising,Merchandising,IC1,IC2,170,294,STORE-BR-031,STORE-BR-031,BR,Retail,retail_ops
MOV00000063,173,2017-03-15,Promotion,Visual Merchandising,Visual Merchandising,Store Design,Store Design,IC1,IC2,11,294,STORE-BR-037,STORE-BR-037,BR,Retail,retail_ops
MOV00000064,316,2017-03-15,Promotion,Store Operations,Store Operations,Security,Security,IC2,IC3,467,467,STORE-BR-018,STORE-BR-018,BR,Retail,retail_ops
MOV00000065,216,2017-03-15,Promotion,Customer Experience,Customer Experience,Voice of Customer,Voice of Customer,IC1,IC2,90,433,SITE-BR-001,SITE-BR-001,BR,Customer,customer
MOV00000066,70,2017-03-15,Promotion,Data,Data,Data Science,Data Science,M1,M2,8,121,HQ-BR-001,HQ-BR-001,BR,Digital,digital
MOV00000067,283,2017-03-15,Promotion,Engineering,Engineering,SRE,SRE,IC2,IC3,210,86,HQ-BR-001,HQ-BR-001,BR,Digital,digital
MOV00000068,404,2017-03-15,Promotion,Product,Product,Product Ops,Product Ops,IC3,IC4,192,482,HQ-BR-001,HQ-BR-001,BR,Digital,digital
MOV00000069,153,2017-03-15,Promotion,Data,Data,Analytics Engineering,Analytics Engineering,IC4,M1,70,70,HQ-BR-001,HQ-BR-001,BR,Digital,digital
MOV00000070,210,2017-03-15,Promotion,Engineering,Engineering,Platform,Platform,IC3,IC4,86,416,HQ-BR-001,HQ-BR-001,BR,Digital,digital
MOV00000071,47,2017-03-15,Promotion,Procurement,Procurement,Contracts,Contracts,IC2,IC3,243,45,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000072,232,2017-03-15,Promotion,Data & Analytics,Data & Analytics,Business Intelligence,Business Intelligence,IC2,IC3,202,92,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000073,556,2017-03-15,Lateral Move,Strategy,Planning,Corporate Strategy,Supply Planning,IC2,IC2,494,305,HQ-BR-001,DC-BR-001,BR,Supply Chain,supply
MOV00000074,121,2017-04-15,Transfer,E-commerce,Sales,Catalog,Key Accounts,M4,M4,309,309,HQ-BR-001,STORE-BR-017,BR,Retail,retail_ops
MOV00000075,522,2017-04-15,Transfer,Visual Merchandising,Store Operations,Store Design,Store Management,IC2,IC2,273,316,STORE-BR-012,STORE-BR-028,BR,Retail,retail_ops
MOV00000076,166,2017-04-15,Lateral Move,Procurement,Distribution Centers,Indirect Procurement,Inventory,IC2,IC2,243,517,HQ-BR-001,DC-BR-005,BR,Supply Chain,supply
MOV00000077,21,2017-05-15,Transfer,Store Operations,Sales,Stockroom,Floor Sales,IC2,IC2,467,585,STORE-BR-006,STORE-BR-008,BR,Retail,retail_ops
MOV00000078,448,2017-05-15,Transfer,UX,Regional Operations,Design System,Region North,IC3,IC3,205,208,HQ-BR-001,STORE-BR-001,BR,Retail,retail_ops
MOV00000079,309,2017-05-15,Lateral Move,Marketing,People,Brand,HR Business Partner,M5,M5,62,62,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000080,576,2017-06-15,Transfer,Digital Marketing,Finance,Paid Media,FP&A,IC3,IC3,566,598,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000081,560,2017-06-15,Lateral Move,Planning,Sales,Supply Planning,Key Accounts,IC2,IC2,305,585,DC-BR-004,STORE-BR-027,BR,Retail,retail_ops
MOV00000082,162,2017-07-15,Transfer,Logistics,Sales,Reverse Logistics,Key Accounts,IC4,IC4,303,79,DC-BR-006,STORE-BR-015,BR,Retail,retail_ops
MOV00000083,167,2017-07-15,Transfer,Risk,Store Operations,Risk Management,Cashier,IC1,IC1,117,522,HQ-BR-001,STORE-BR-044,BR,Retail,retail_ops
MOV00000084,313,2017-07-15,Transfer,Store Operations,Procurement,Cashier,Indirect Procurement,IC2,IC2,467,47,STORE-BR-023,HQ-BR-001,BR,Corporate,corporate
MOV00000085,516,2017-07-15,Transfer,Finance,Data,FP&A,Analytics Engineering,IC3,IC3,82,197,HQ-BR-001,HQ-BR-001,BR,Digital,digital
MOV00000086,101,2017-07-15,Lateral Move,Finance,Customer Operations,FP&A,Order Support,IC1,IC1,100,550,HQ-BR-001,SITE-BR-002,BR,Customer,customer
MOV00000087,481,2017-08-15,Transfer,Customer Operations,Regional Operations,Order Support,Region South,IC1,IC1,428,466,SITE-BR-003,STORE-BR-005,BR,Retail,retail_ops
MOV00000088,522,2017-08-15,Transfer,Store Operations,Engineering,Store Management,Platform,IC2,IC2,316,283,STORE-BR-028,HQ-BR-001,BR,Digital,digital
MOV00000089,308,2017-08-15,Lateral Move,Store Operations,Legal,Cashier,Corporate Legal,IC2,IC2,467,441,STORE-BR-012,HQ-BR-001,BR,Corporate,corporate
MOV00000090,310,2017-08-15,Lateral Move,E-commerce,Customer Service,Storefront,Contact Center,M1,M1,121,578,HQ-BR-001,SITE-BR-004,BR,Customer,customer
MOV00000091,292,2017-09-15,Promotion,Sales,Sales,Key Accounts,Key Accounts,M1,M2,65,121,STORE-BR-005,STORE-BR-005,BR,Retail,retail_ops
MOV00000092,208,2017-09-15,Promotion,Regional Operations,Regional Operations,Region North,Region North,M1,M2,65,212,STORE-BR-031,STORE-BR-031,BR,Retail,retail_ops
MOV00000093,78,2017-09-15,Promotion,Visual Merchandising,Visual Merchandising,Store Design,Store Design,IC1,IC2,32,586,STORE-BR-022,STORE-BR-022,BR,Retail,retail_ops
MOV00000094,128,2017-09-15,Promotion,Sales,Sales,Key Accounts,Key Accounts,IC1,IC2,326,585,STORE-BR-022,STORE-BR-022,BR,Retail,retail_ops
MOV00000095,12,2017-09-15,Promotion,Regional Operations,Regional Operations,Region South,Region South,IC2,IC3,34,98,STORE-BR-034,STORE-BR-034,BR,Retail,retail_ops
MOV00000096,10,2017-09-15,Promotion,Procurement,Procurement,Sourcing,Sourcing,M3,M4,212,309,DC-BR-003,DC-BR-003,BR,Supply Chain,supply
MOV00000097,43,2017-09-15,Promotion,Distribution Centers,Distribution Centers,Inbound,Inbound,IC1,IC2,48,517,DC-BR-001,DC-BR-001,BR,Supply Chain,supply
MOV00000098,81,2017-09-15,Promotion,Product,Product,Product Ops,Product Ops,IC3,M1,192,281,HQ-BR-001,HQ-BR-001,BR,Digital,digital
MOV00000099,245,2017-09-15,Promotion,E-commerce,E-commerce,Catalog,Catalog,IC1,IC2,106,199,HQ-BR-001,HQ-BR-001,BR,Digital,digital
MOV00000100,286,2017-09-15,Promotion,Procurement,Procurement,Indirect Procurement,Indirect Procurement,IC4,IC5,187,187,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000101,308,2017-09-15,Promotion,Legal,Legal,Corporate Legal,Corporate Legal,IC2,IC3,441,406,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000102,119,2017-09-15,Promotion,Legal,Legal,Labor Legal,Labor Legal,IC3,IC4,196,196,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000103,28,2017-09-15,Promotion,Finance,Finance,FP&A,FP&A,IC1,IC2,89,630,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000104,196,2017-09-15,Promotion,Legal,Legal,Compliance,Compliance,IC5,M3,307,321,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000105,352,2017-09-15,Promotion,Marketing,Marketing,Brand,Brand,IC3,IC4,363,341,HQ-AR-001,HQ-AR-001,AR,Corporate,corporate
MOV00000106,316,2017-09-15,Transfer,Store Operations,Store Operations,Security,Security,IC3,IC3,467,467,STORE-BR-018,STORE-BR-037,BR,Retail,retail_ops
MOV00000107,27,2017-10-15,Transfer,Finance,Regional Operations,FP&A,Region South,IC3,IC3,29,98,HQ-BR-001,STORE-BR-027,BR,Retail,retail_ops
MOV00000108,647,2017-10-15,Transfer,Store Operations,Regional Operations,Security,Region North,IC1,IC1,633,631,STORE-BR-006,STORE-BR-014,BR,Retail,retail_ops
MOV00000109,633,2017-10-15,Lateral Move,Store Operations,Store Operations,Security,Security,IC2,IC2,316,316,STORE-BR-023,STORE-BR-007,BR,Retail,retail_ops
MOV00000110,286,2017-10-15,Demotion,Procurement,Procurement,Indirect Procurement,Indirect Procurement,IC5,IC4,187,187,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000111,307,2017-11-15,Transfer,Legal,Visual Merchandising,Corporate Legal,Merchandising,M2,M2,321,700,HQ-BR-001,STORE-BR-022,BR,Retail,retail_ops
MOV00000112,49,2017-11-15,Demotion,Procurement,Procurement,Sourcing,Sourcing,IC2,IC1,319,430,DC-BR-003,DC-BR-003,BR,Supply Chain,supply
MOV00000113,686,2017-11-15,Demotion,Strategy,Strategy,M&A,M&A,IC3,IC2,444,595,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000114,702,2017-11-15,Demotion,Customer Service,Customer Service,Chat,Chat,M1,IC5,673,310,SITE-BR-002,SITE-BR-002,BR,Customer,customer
MOV00000115,81,2017-12-15,Transfer,Product,Procurement,Product Ops,Indirect Procurement,M1,M1,281,187,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000116,315,2017-12-15,Transfer,Distribution Centers,Logistics,Outbound,Transportation,IC1,IC1,48,28,DC-BR-005,DC-CL-001,CL,Supply Chain,supply
MOV00000117,70,2018-01-15,Transfer,Data,Customer Operations,Data Science,Order Support,M2,M2,121,673,HQ-BR-001,SITE-BR-003,BR,Customer,customer
MOV00000118,275,2018-01-15,Transfer,Store Operations,Finance,Security,Accounting,IC1,IC1,308,100,STORE-BR-043,HQ-BR-001,BR,Corporate,corporate
MOV00000119,541,2018-01-15,Transfer,Planning,Logistics,Demand Planning,Reverse Logistics,IC3,IC3,343,570,DC-AR-001,DC-CL-001,CL,Supply Chain,supply
MOV00000120,29,2018-01-15,Lateral Move,Strategy,Sales,Corporate Strategy,Floor Sales,IC5,IC5,193,721,HQ-BR-001,STORE-BR-039,BR,Retail,retail_ops
MOV00000121,296,2018-01-15,Lateral Move,Finance,Customer Service,Controlling,Escalations,IC2,IC2,27,243,HQ-BR-001,SITE-BR-003,BR,Customer,customer
MOV00000122,214,2018-01-15,Demotion,Engineering,Engineering,SRE,SRE,IC2,IC1,210,657,HQ-BR-001,HQ-BR-001,BR,Digital,digital
MOV00000123,173,2018-02-15,Transfer,Visual Merchandising,Regional Operations,Store Design,Region Southeast,IC2,IC2,294,27,STORE-BR-037,STORE-BR-043,BR,Retail,retail_ops
MOV00000124,194,2018-02-15,Transfer,Customer Experience,UX,CX Design,Design System,M1,M1,246,281,SITE-BR-004,HQ-BR-001,BR,Digital,digital
MOV00000125,578,2018-02-15,Transfer,Customer Experience,Sales,CX Design,Key Accounts,M3,M3,121,121,SITE-BR-002,STORE-BR-032,BR,Retail,retail_ops
MOV00000126,45,2018-02-15,Lateral Move,Procurement,Planning,Indirect Procurement,Demand Planning,IC4,IC4,187,335,HQ-BR-001,DC-BR-002,BR,Supply Chain,supply
MOV00000127,379,2018-03-15,Promotion,Sales,Sales,Key Accounts,Key Accounts,IC2,IC3,343,341,STORE-AR-001,STORE-AR-001,AR,Retail,retail_ops
MOV00000128,167,2018-03-15,Promotion,Store Operations,Store Operations,Cashier,Cashier,IC1,IC2,522,691,STORE-BR-044,STORE-BR-044,BR,Retail,retail_ops
MOV00000129,477,2018-03-15,Promotion,Regional Operations,Regional Operations,Region South,Region South,IC2,IC3,18,98,STORE-BR-041,STORE-BR-041,BR,Retail,retail_ops
MOV00000130,162,2018-03-15,Promotion,Sales,Sales,Key Accounts,Key Accounts,IC4,IC5,79,141,STORE-BR-015,STORE-BR-015,BR,Retail,retail_ops
MOV00000131,280,2018-03-15,Promotion,Store Operations,Store Operations,Security,Security,IC2,IC3,467,467,STORE-BR-006,STORE-BR-006,BR,Retail,retail_ops
MOV00000132,333,2018-03-15,Promotion,Sales,Sales,Floor Sales,Floor Sales,IC1,IC2,26,29,STORE-BR-030,STORE-BR-030,BR,Retail,retail_ops
MOV00000133,460,2018-03-15,Promotion,Sales,Sales,Key Accounts,Key Accounts,IC1,IC2,391,29,STORE-BR-032,STORE-BR-032,BR,Retail,retail_ops
MOV00000134,34,2018-03-15,Promotion,Regional Operations,Regional Operations,Region Southeast,Region Southeast,IC3,M1,98,208,STORE-BR-002,STORE-BR-002,BR,Retail,retail_ops
MOV00000135,169,2018-03-15,Promotion,Visual Merchandising,Visual Merchandising,Store Design,Store Design,IC1,IC2,238,586,STORE-BR-023,STORE-BR-023,BR,Retail,retail_ops
MOV00000136,264,2018-03-15,Promotion,Visual Merchandising,Visual Merchandising,Merchandising,Merchandising,M1,M2,14,700,STORE-BR-030,STORE-BR-030,BR,Retail,retail_ops
MOV00000137,66,2018-03-15,Promotion,Store Operations,Store Operations,Store Management,Store Management,IC1,IC2,21,691,STORE-BR-041,STORE-BR-041,BR,Retail,retail_ops
MOV00000138,69,2018-03-15,Promotion,Logistics,Logistics,Transportation,Transportation,IC1,IC2,276,623,DC-BR-006,DC-BR-006,BR,Supply Chain,supply
MOV00000139,505,2018-03-15,Promotion,Planning,Planning,Demand Planning,Demand Planning,IC1,IC2,474,305,DC-BR-004,DC-BR-004,BR,Supply Chain,supply
MOV00000140,285,2018-03-15,Promotion,Digital Marketing,Digital Marketing,Lifecycle,Lifecycle,IC2,IC3,420,566,HQ-BR-001,HQ-BR-001,BR,Digital,digital
MOV00000141,92,2018-03-15,Promotion,Data & Analytics,Data & Analytics,Business Intelligence,Business Intelligence,IC4,M1,196,509,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000142,57,2018-03-15,Promotion,People,People,People Analytics,People Analytics,IC1,IC2,156,298,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000143,406,2018-03-15,Transfer,Legal,Regional Operations,Compliance,Region Southeast,IC4,IC4,196,98,HQ-BR-001,STORE-BR-026,BR,Retail,retail_ops
MOV00000144,555,2018-03-15,Transfer,Distribution Centers,Distribution Centers,Outbound,Outbound,IC5,IC5,295,648,DC-BR-006,DC-BR-006,BR,Supply Chain,supply
MOV00000145,566,2018-04-15,Transfer,Digital Marketing,Finance,Paid Media,Controlling,IC4,IC4,8,761,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000146,630,2018-04-15,Transfer,Finance,Sales,Treasury,Floor Sales,IC3,IC3,82,29,HQ-BR-001,STORE-BR-034,BR,Retail,retail_ops
MOV00000147,29,2018-04-15,Lateral Move,Sales,Procurement,Floor Sales,Indirect Procurement,IC5,IC5,721,81,STORE-BR-039,HQ-BR-001,BR,Corporate,corporate
MOV00000148,83,2018-04-15,Lateral Move,Customer Service,Planning,Escalations,Supply Planning,IC1,IC1,242,556,SITE-BR-001,DC-BR-001,BR,Supply Chain,supply
MOV00000149,200,2018-05-15,Transfer,People,Visual Merchandising,People Analytics,Merchandising,IC2,IC2,298,586,HQ-BR-001,STORE-BR-037,BR,Retail,retail_ops
MOV00000150,448,2018-05-15,Transfer,Regional Operations,Customer Operations,Region North,Returns,IC3,IC3,208,252,STORE-BR-001,SITE-BR-003,BR,Customer,customer
MOV00000151,187,2018-06-15,Transfer,Procurement,Sales,Contracts,Key Accounts,M2,M2,62,578,HQ-BR-001,STORE-BR-008,BR,Retail,retail_ops
MOV00000152,205,2018-06-15,Lateral Move,UX,Visual Merchandising,Design System,Merchandising,IC4,IC4,177,493,HQ-BR-001,STORE-BR-018,BR,Retail,retail_ops
MOV00000153,773,2018-07-15,Transfer,Planning,Digital Marketing,Demand Planning,SEO,IC3,IC3,45,587,DC-BR-006,HQ-BR-001,BR,Digital,digital
MOV00000154,139,2018-07-15,Lateral Move,Sales,Sales,Key Accounts,Floor Sales,IC2,IC2,162,630,STORE-BR-014,STORE-BR-042,BR,Retail,retail_ops
MOV00000155,252,2018-07-15,Lateral Move,Customer Operations,Visual Merchandising,Order Support,Merchandising,M1,M1,303,732,SITE-BR-001,STORE-BR-039,BR,Retail,retail_ops
MOV00000156,399,2018-07-15,Lateral Move,Sales,Sales,Floor Sales,Key Accounts,IC2,IC2,162,630,STORE-BR-044,STORE-BR-024,BR,Retail,retail_ops
MOV00000157,754,2018-07-15,Lateral Move,Sales,Product,Key Accounts,Product Management,IC1,IC1,128,116,STORE-BR-038,HQ-BR-001,BR,Digital,digital
MOV00000158,167,2018-08-15,Transfer,Store Operations,Regional Operations,Cashier,Region South,IC2,IC2,691,477,STORE-BR-044,STORE-BR-021,BR,Retail,retail_ops
MOV00000159,89,2018-08-15,Lateral Move,Finance,Store Operations,Treasury,Cashier,IC3,IC3,218,467,HQ-BR-001,STORE-BR-005,BR,Retail,retail_ops
MOV00000160,795,2018-08-15,Lateral Move,Regional Operations,Planning,Region Southeast,Demand Planning,IC1,IC1,778,789,STORE-BR-001,DC-BR-005,BR,Supply Chain,supply
MOV00000161,181,2018-09-15,Promotion,Visual Merchandising,Visual Merchandising,Merchandising,Merchandising,M1,M2,14,700,STORE-BR-022,STORE-BR-022,BR,Retail,retail_ops
