termination_id,employee_id,termination_date,termination_type,termination_reason,voluntary_flag,regrettable_flag,department,business_unit,sub_department,job_family,job_level,manager_id,tenure_months,country,segment
TERM0000381,381,2017-04-26,Resignation,Resignation,true,false,Visual Merchandising,Retail,Merchandising,Design,IC1,238,15,BR,retail_ops
TERM0000415,415,2017-04-16,Resignation,Resignation,true,false,Regional Operations,Retail,Region Southeast,Store Operations,IC1,12,12,BR,retail_ops
TERM0000450,450,2017-04-21,Layoff,Layoff,false,true,Sales,Retail,Key Accounts,Sales,IC1,139,8,BR,retail_ops
TERM0000531,531,2017-04-17,Retirement,Retirement,true,false,Visual Merchandising,Retail,Store Design,Store Operations,IC1,522,5,BR,retail_ops
TERM0000004,4,2017-04-28,Resignation,Resignation,true,false,Customer Service,Customer,Contact Center,Customer Support,IC2,171,41,BR,customer
TERM0000154,154,2017-04-16,Other,Other,false,false,Customer Service,Customer,Contact Center,Customer Support,IC1,242,19,BR,customer
TERM0000410,410,2017-04-23,Performance,Performance,false,false,Customer Service,Customer,Contact Center,Customer Support,IC1,461,13,BR,customer
TERM0000097,97,2017-04-21,Resignation,Resignation,true,false,Engineering,Digital,Mobile,Software Engineering,IC1,214,40,BR,digital
TERM0000120,120,2017-04-19,Other,Other,false,false,Data,Digital,Data Engineering,Data,IC3,153,74,BR,digital
TERM0000325,325,2017-05-28,Retirement,Retirement,true,false,Regional Operations,Retail,Region Southeast,General Management,IC1,31,19,BR,retail_ops
TERM0000407,407,2017-05-19,Retirement,Retirement,true,false,Store Operations,Retail,Store Management,Store Operations,IC1,375,14,AR,retail_ops
TERM0000463,463,2017-05-23,Retirement,Retirement,true,false,Regional Operations,Retail,Region Southeast,Store Operations,IC1,506,9,AR,retail_ops
TERM0000492,492,2017-05-23,Retirement,Retirement,true,false,Visual Merchandising,Retail,Store Design,Store Operations,IC1,365,6,AR,retail_ops
TERM0000500,500,2017-05-27,Retirement,Retirement,true,false,Visual Merchandising,Retail,Store Design,Design,IC1,270,6,BR,retail_ops
TERM0000038,38,2017-05-26,EndOfContract,EndOfContract,false,false,Logistics,Supply Chain,Transportation,Logistics,IC2,162,32,BR,supply
TERM0000374,374,2017-05-22,Layoff,Layoff,false,false,Distribution Centers,Supply Chain,Inbound,Warehouse,IC1,357,33,AR,supply
TERM0000400,400,2017-05-23,Retirement,Retirement,true,false,Distribution Centers,Supply Chain,Inbound,Warehouse,IC1,48,15,BR,supply
TERM0000170,170,2017-05-20,Other,Other,false,false,Strategy,Corporate,Corporate Strategy,Strategy,IC2,162,22,BR,corporate
TERM0000202,202,2017-05-22,Retirement,Retirement,true,false,Data & Analytics,Corporate,Data Governance,Data,IC3,92,51,BR,corporate
TERM0000478,478,2017-05-24,Retirement,Retirement,true,false,Marketing,Corporate,Performance,Marketing,IC2,60,7,BR,corporate
TERM0000087,87,2017-05-27,Resignation,Resignation,true,false,Customer Experience,Customer,Voice of Customer,Design,IC1,90,33,BR,customer
TERM0000110,110,2017-06-23,Retirement,Retirement,true,false,Sales,Retail,Key Accounts,Sales,IC1,201,17,BR,retail_ops
TERM0000144,144,2017-06-17,Retirement,Retirement,true,false,Sales,Retail,Key Accounts,Sales,IC3,79,39,BR,retail_ops
TERM0000383,383,2017-06-20,Resignation,Resignation,true,true,Sales,Retail,Floor Sales,Sales,IC1,326,17,BR,retail_ops
TERM0000480,480,2017-06-25,Performance,Performance,false,false,Regional Operations,Retail,Region Southeast,Store Operations,IC1,395,8,BR,retail_ops
TERM0000104,104,2017-06-25,Retirement,Retirement,true,false,Customer Experience,Customer,CX Design,Design,IC1,90,29,BR,customer
TERM0000176,176,2017-06-26,Layoff,Layoff,false,false,Customer Experience,Customer,Voice of Customer,Customer Support,IC1,90,79,BR,customer
TERM0000527,527,2017-06-18,Retirement,Retirement,true,false,Customer Service,Customer,Escalations,Customer Support,M2,10,7,BR,customer
TERM0000370,370,2017-07-24,Layoff,Layoff,false,false,Regional Operations,Retail,Region South,General Management,IC1,379,23,AR,retail_ops
TERM0000418,418,2017-07-24,Redundancy,Redundancy,false,true,Store Operations,Retail,Stockroom,Store Operations,IC1,313,15,BR,retail_ops
TERM0000497,497,2017-07-19,Resignation,Resignation,true,true,Regional Operations,Retail,Region North,Store Operations,IC1,395,8,BR,retail_ops
TERM0000135,135,2017-07-21,Retirement,Retirement,true,false,Data,Digital,Analytics Engineering,Data,IC2,496,24,BR,digital
TERM0000513,513,2017-07-19,Resignation,Resignation,true,false,Data,Digital,Data Science,Data,IC1,496,8,BR,digital
TERM0000253,253,2017-07-23,Resignation,Resignation,true,false,Customer Service,Customer,Chat,Customer Support,IC1,189,24,BR,customer
TERM0000367,367,2017-07-17,Resignation,Resignation,true,true,Customer Service,Customer,Escalations,Customer Support,IC1,344,18,AR,customer
TERM0000068,68,2017-08-16,Retirement,Retirement,true,false,Store Operations,Retail,Stockroom,Store Operations,IC1,77,50,BR,retail_ops
TERM0000358,358,2017-08-17,Retirement,Retirement,true,false,Visual Merchandising,Retail,Store Design,Design,IC1,365,22,AR,retail_ops
TERM0000431,431,2017-08-21,Resignation,Resignation,true,false,Regional Operations,Retail,Region North,General Management,IC1,379,14,AR,retail_ops
TERM0000442,442,2017-08-27,Layoff,Layoff,false,false,Sales,Retail,Key Accounts,Sales,IC1,61,13,BR,retail_ops
TERM0000449,449,2017-08-17,Resignation,Resignation,true,false,Regional Operations,Retail,Region South,Store Operations,IC1,282,13,BR,retail_ops
TERM0000489,489,2017-08-26,Retirement,Retirement,true,false,Regional Operations,Retail,Region South,Store Operations,IC1,466,10,BR,retail_ops
TERM0000597,597,2017-08-19,Redundancy,Redundancy,false,true,Store Operations,Retail,Store Management,Store Operations,IC1,375,2,AR,retail_ops
TERM0000617,617,2017-08-19,Retirement,Retirement,true,true,Distribution Centers,Supply Chain,Inbound,Warehouse,IC1,109,1,BR,supply
TERM0000022,22,2017-08-17,Performance,Performance,false,false,Legal,Corporate,Corporate Legal,Legal,IC1,55,50,BR,corporate
TERM0000483,483,2017-08-16,Resignation,Resignation,true,true,People,Corporate,Talent Acquisition,People,IC1,447,10,BR,corporate
TERM0000015,15,2017-09-28,Resignation,Resignation,true,false,Sales,Retail,Floor Sales,Sales,IC1,24,20,BR,retail_ops
TERM0000159,159,2017-09-22,Retirement,Retirement,true,false,Visual Merchandising,Retail,Merchandising,Design,IC1,223,76,BR,retail_ops
TERM0000221,221,2017-09-21,Performance,Performance,false,false,Store Operations,Retail,Stockroom,Store Operations,IC2,467,28,BR,retail_ops
TERM0000255,255,2017-09-27,Resignation,Resignation,true,false,Store Operations,Retail,Store Management,Store Operations,IC1,313,28,BR,retail_ops
TERM0000451,451,2017-09-24,Retirement,Retirement,true,false,Store Operations,Retail,Stockroom,Store Operations,IC1,287,13,BR,retail_ops
TERM0000481,481,2017-09-24,Retirement,Retirement,true,false,Regional Operations,Retail,Region South,Store Operations,IC1,466,11,BR,retail_ops
TERM0000599,599,2017-09-16,Resignation,Resignation,true,false,Visual Merchandising,Retail,Store Design,Store Operations,IC1,224,3,BR,retail_ops
TERM0000602,602,2017-09-18,Resignation,Resignation,true,true,Sales,Retail,Floor Sales,Sales,IC1,201,3,BR,retail_ops
TERM0000453,453,2017-09-23,Retirement,Retirement,true,false,Procurement,Supply Chain,Supplier Management,Procurement,IC2,319,13,BR,supply
TERM0000524,524,2017-09-25,EndOfContract,EndOfContract,false,false,Risk,Corporate,Internal Audit,Risk & Compliance,IC1,471,10,BR,corporate
TERM0000428,428,2017-09-24,Retirement,Retirement,true,false,Customer Operations,Customer,Order Support,Logistics,IC2,252,16,BR,customer
TERM0000249,249,2017-10-21,Retirement,Retirement,true,false,Sales,Retail,Key Accounts,Sales,IC1,160,49,BR,retail_ops
TERM0000408,408,2017-10-25,Resignation,Resignation,true,false,Visual Merchandising,Retail,Merchandising,Store Operations,IC2,273,19,BR,retail_ops
TERM0000454,454,2017-10-19,Other,Other,false,true,Sales,Retail,Floor Sales,Sales,IC1,160,14,BR,retail_ops
TERM0000559,559,2017-10-28,Layoff,Layoff,false,false,Sales,Retail,Key Accounts,Sales,IC1,24,7,BR,retail_ops
TERM0000563,563,2017-10-21,Resignation,Resignation,true,true,Visual Merchandising,Retail,Store Design,Store Operations,IC1,365,6,AR,retail_ops
TERM0000646,646,2017-10-16,Retirement,Retirement,true,false,Sales,Retail,Floor Sales,Sales,IC2,585,1,BR,retail_ops
TERM0000641,641,2017-10-27,Retirement,Retirement,true,false,Distribution Centers,Supply Chain,Inbound,Warehouse,IC1,109,1,BR,supply
TERM0000006,6,2017-10-25,Retirement,Retirement,true,false,Product,Digital,Product Ops,Product Management,IC3,192,40,BR,digital
TERM0000496,496,2017-10-18,Retirement,Retirement,true,false,Data,Digital,Data Science,Data,IC3,197,11,BR,digital
TERM0000424,424,2017-10-20,Resignation,Resignation,true,false,Strategy,Corporate,Corporate Strategy,Strategy,IC1,494,17,BR,corporate
TERM0000151,151,2017-11-23,Retirement,Retirement,true,false,Store Operations,Retail,Stockroom,Store Operations,IC1,280,29,BR,retail_ops
TERM0000230,230,2017-11-20,Retirement,Retirement,true,false,Sales,Retail,Floor Sales,Sales,IC1,61,42,BR,retail_ops
TERM0000545,545,2017-11-24,Retirement,Retirement,true,false,Sales,Retail,Key Accounts,Sales,IC1,42,8,BR,retail_ops
TERM0000622,622,2017-11-17,Retirement,Retirement,true,false,Visual Merchandising,Retail,Store Design,Design,IC1,583,3,BR,retail_ops
TERM0000339,339,2017-11-22,Resignation,Resignation,true,false,Distribution Centers,Supply Chain,Inbound,Warehouse,IC3,343,23,AR,supply
TERM0000621,621,2017-11-27,Performance,Performance,false,false,Planning,Supply Chain,Demand Planning,Data,IC1,556,3,BR,supply
TERM0000569,569,2017-11-18,Redundancy,Redundancy,false,true,Digital Marketing,Digital,SEO,Marketing,IC2,420,7,BR,digital
TERM0000268,268,2017-11-28,Performance,Performance,false,false,Customer Service,Customer,Escalations,Customer Support,IC1,242,74,BR,customer
