requisition_id,position_id,country,business_unit,department,sub_department,job_family,job_level,location,opening_date,approval_date,posting_date,requisition_status,recruiter_id,hire_date
REQ0000056,POS0000057,BR,Corporate,Marketing,CRM,Marketing,M3,HQ-BR-001,2015-09-12,2015-10-15,2015-10-30,Cancelled,REC0003,
REQ0000057,POS0000058,AR,Retail,Regional Operations,Region North,General Management,IC1,STORE-AR-010,2016-03-23,2016-03-26,2016-04-01,Filled,REC0001,2016-06-11
REQ0000058,POS0000059,AR,Retail,Store Operations,Cashier,Store Operations,IC1,STORE-AR-008,2016-03-20,2016-03-23,2016-03-26,Filled,REC0005,2016-06-01
REQ0000059,POS0000060,BR,Customer,Customer Experience,CX Design,Customer Support,M1,SITE-BR-002,2015-10-26,2015-11-27,2015-12-18,Filled,REC0005,2016-06-02
REQ0000060,POS0000061,BR,Supply Chain,Logistics,Reverse Logistics,Logistics,IC1,DC-BR-001,2016-03-25,2016-04-05,2016-04-07,Filled,REC0003,2016-06-04
REQ0000061,POS0000062,BR,Retail,Sales,Key Accounts,Sales,IC1,STORE-BR-018,2016-05-07,2016-05-08,2016-05-12,Filled,REC0003,2016-06-12
REQ0000062,POS0000063,BR,Corporate,Marketing,Content,Marketing,IC2,HQ-BR-001,2016-03-01,2016-03-20,2016-03-24,Filled,REC0001,2016-06-04
REQ0000063,POS0000064,BR,Corporate,Strategy,PMO,Strategy,IC2,HQ-BR-001,2016-03-08,2016-03-25,2016-04-03,Filled,REC0004,2016-06-07
REQ0000064,POS0000065,AR,Retail,Visual Merchandising,Store Design,Store Operations,M2,STORE-AR-005,2015-11-10,2015-11-22,2015-11-24,Filled,REC0004,2016-06-03
REQ0000065,POS0000066,BR,Retail,Regional Operations,Region North,General Management,IC1,STORE-BR-010,2016-03-02,2016-03-14,2016-03-20,Filled,REC0005,2016-06-01
REQ0000066,POS0000067,BR,Corporate,Marketing,CRM,Marketing,M2,HQ-BR-001,2016-01-28,2016-01-30,2016-02-08,Filled,REC0005,2016-06-05
REQ0000067,POS0000068,BR,Corporate,Procurement,Indirect Procurement,Procurement,IC2,HQ-BR-001,2016-03-31,2016-04-13,2016-04-22,Cancelled,REC0001,
REQ0000068,POS0000069,BR,Corporate,Legal,Corporate Legal,Legal,IC3,HQ-BR-001,2016-02-18,2016-02-29,2016-02-29,Filled,REC0003,2016-07-06
REQ0000069,POS0000070,BR,Retail,Visual Merchandising,Merchandising,Store Operations,IC1,STORE-BR-024,2016-04-07,2016-04-13,2016-04-19,Filled,REC0001,2016-07-01
REQ0000070,POS0000071,BR,Retail,Store Operations,Security,Store Operations,IC1,STORE-BR-043,2016-05-02,2016-05-06,2016-05-12,Filled,REC0005,2016-07-05
REQ0000071,POS0000072,BR,Corporate,Strategy,M&A,Strategy,IC4,HQ-BR-001,2016-05-13,2016-05-25,2016-06-03,Filled,REC0003,2016-07-14
REQ0000072,POS0000073,AR,Retail,Visual Merchandising,Store Design,Design,IC1,STORE-AR-006,2016-05-07,2016-05-14,2016-05-20,Filled,REC0005,2016-07-10
REQ0000073,POS0000074,BR,Retail,Sales,Floor Sales,Sales,IC1,STORE-BR-038,2016-06-02,2016-06-04,2016-06-09,Filled,REC0004,2016-07-12
REQ0000074,POS0000075,BR,Corporate,People,Learning & Development,People,IC2,HQ-BR-001,2016-04-02,2016-04-09,2016-04-12,Filled,REC0001,2016-07-08
REQ0000075,POS0000076,BR,Digital,UX,Design System,Design,IC3,HQ-BR-001,2016-04-15,2016-04-22,2016-05-06,Filled,REC0002,2016-07-12
REQ0000076,POS0000077,BR,Retail,Regional Operations,Region South,Store Operations,IC1,STORE-BR-001,2016-06-06,2016-06-08,2016-06-13,Filled,REC0003,2016-07-05
REQ0000077,POS0000078,AR,Retail,Visual Merchandising,Store Design,Design,IC1,STORE-AR-006,2016-05-07,2016-05-08,2016-05-14,Cancelled,REC0001,
REQ0000078,POS0000079,BR,Retail,Sales,Key Accounts,Sales,IC1,STORE-BR-015,2016-06-11,2016-06-13,2016-06-19,Filled,REC0001,2016-08-09
REQ0000079,POS0000080,BR,Retail,Store Operations,Stockroom,Store Operations,IC1,STORE-BR-022,2016-06-06,2016-06-10,2016-06-18,Filled,REC0002,2016-08-01
REQ0000080,POS0000081,AR,Supply Chain,Planning,Supply Planning,Logistics,IC1,DC-AR-001,2016-07-06,2016-07-18,2016-07-19,Filled,REC0005,2016-08-13
REQ0000081,POS0000082,BR,Supply Chain,Procurement,Supplier Management,Procurement,IC2,DC-BR-006,2016-05-22,2016-05-25,2016-05-30,Filled,REC0002,2016-08-12
REQ0000082,POS0000083,BR,Retail,Sales,Floor Sales,Sales,IC1,STORE-BR-031,2016-06-10,2016-06-14,2016-06-21,Filled,REC0001,2016-08-04
REQ0000083,POS0000084,BR,Retail,Store Operations,Stockroom,Store Operations,IC1,STORE-BR-031,2016-07-07,2016-07-13,2016-07-21,Filled,REC0005,2016-08-13
REQ0000084,POS0000085,BR,Customer,Customer Operations,Order Support,Customer Support,IC1,SITE-BR-001,2016-05-05,2016-05-15,2016-05-16,Filled,REC0001,2016-08-02
REQ0000085,POS0000086,BR,Corporate,Legal,Corporate Legal,Legal,IC3,HQ-BR-001,2016-05-12,2016-05-25,2016-06-05,Filled,REC0005,2016-08-11
REQ0000086,POS0000087,BR,Retail,Store Operations,Store Management,Store Operations,IC1,STORE-BR-043,2016-06-16,2016-06-19,2016-06-20,Filled,REC0005,2016-08-11
REQ0000087,POS0000088,BR,Retail,Sales,Floor Sales,Sales,IC2,STORE-BR-019,2016-04-21,2016-05-09,2016-05-12,Filled,REC0003,2016-08-04
REQ0000088,POS0000089,BR,Retail,Sales,Key Accounts,Sales,IC1,STORE-BR-032,2016-06-16,2016-06-22,2016-06-24,Filled,REC0002,2016-08-14
REQ0000089,POS0000090,BR,Customer,Customer Service,Contact Center,Customer Support,IC2,SITE-BR-002,2016-03-31,2016-04-05,2016-04-09,Filled,REC0001,2016-08-08
REQ0000090,POS0000091,AR,Retail,Store Operations,Security,Store Operations,IC2,STORE-AR-010,2016-04-09,2016-04-22,2016-04-29,Filled,REC0004,2016-08-04
REQ0000091,POS0000092,AR,Supply Chain,Distribution Centers,Outbound,Warehouse,IC1,DC-AR-001,2016-06-03,2016-06-10,2016-06-12,Filled,REC0003,2016-08-01
REQ0000092,POS0000093,BR,Corporate,Legal,Compliance,Legal,IC2,HQ-BR-001,2016-05-09,2016-05-17,2016-05-27,Filled,REC0001,2016-08-08
REQ0000093,POS0000094,BR,Digital,Data,Data Engineering,Data,IC2,HQ-BR-001,2016-04-15,2016-04-20,2016-04-29,Filled,REC0004,2016-08-02
REQ0000094,POS0000095,BR,Retail,Store Operations,Stockroom,Store Operations,IC1,STORE-BR-018,2016-06-23,2016-07-01,2016-07-01,Cancelled,REC0004,
REQ0000095,POS0000096,BR,Retail,Store Operations,Store Management,Store Operations,IC1,STORE-BR-025,2016-05-24,2016-06-05,2016-06-06,Cancelled,REC0005,
REQ0000096,POS0000097,BR,Retail,Regional Operations,Region South,General Management,IC2,STORE-BR-003,2016-06-01,2016-06-06,2016-06-10,Filled,REC0003,2016-09-11
REQ0000097,POS0000098,BR,Retail,Store Operations,Store Management,Store Operations,M1,STORE-BR-032,2016-04-05,2016-04-09,2016-04-15,Filled,REC0003,2016-09-01
REQ0000098,POS0000099,BR,Retail,Store Operations,Stockroom,Store Operations,IC1,STORE-BR-017,2016-07-07,2016-07-09,2016-07-09,Filled,REC0005,2016-09-04
REQ0000099,POS0000100,BR,Retail,Store Operations,Cashier,Store Operations,IC1,STORE-BR-034,2016-06-29,2016-07-01,2016-07-03,Filled,REC0004,2016-09-07
REQ0000100,POS0000101,BR,Supply Chain,Planning,Demand Planning,Logistics,IC1,DC-BR-003,2016-07-19,2016-07-26,2016-08-02,Filled,REC0004,2016-09-03
REQ0000101,POS0000102,BR,Corporate,Risk,Internal Audit,Risk & Compliance,IC2,HQ-BR-001,2016-05-06,2016-05-09,2016-05-11,Filled,REC0001,2016-09-04
REQ0000102,POS0000103,BR,Retail,Regional Operations,Region South,General Management,IC3,STORE-BR-026,2016-06-11,2016-06-15,2016-06-26,Filled,REC0001,2016-09-06
REQ0000103,POS0000104,BR,Retail,Sales,Floor Sales,Sales,IC2,STORE-BR-020,2016-06-16,2016-06-25,2016-06-25,Filled,REC0005,2016-09-13
REQ0000104,POS0000105,BR,Supply Chain,Planning,Supply Planning,Logistics,IC3,DC-BR-006,2016-04-25,2016-04-26,2016-04-26,Filled,REC0001,2016-09-11
REQ0000105,POS0000106,BR,Corporate,Finance,Treasury,Finance,IC1,HQ-BR-001,2016-07-11,2016-07-12,2016-07-19,Filled,REC0001,2016-09-12
REQ0000106,POS0000107,BR,Retail,Sales,Floor Sales,Sales,IC1,STORE-BR-006,2016-07-06,2016-07-15,2016-07-16,Filled,REC0001,2016-09-07
REQ0000107,POS0000108,BR,Supply Chain,Logistics,Last Mile,Logistics,IC2,DC-BR-005,2016-05-01,2016-05-20,2016-05-22,Cancelled,REC0004,
REQ0000108,POS0000109,AR,Retail,Store Operations,Cashier,Store Operations,IC1,STORE-AR-008,2016-06-21,2016-06-28,2016-07-05,Cancelled,REC0003,
REQ0000109,POS0000110,BR,Retail,Regional Operations,Region South,Store Operations,IC2,STORE-BR-041,2016-07-16,2016-07-30,2016-07-30,Filled,REC0005,2016-10-07
REQ0000110,POS0000111,BR,Corporate,Marketing,Performance,Marketing,IC2,HQ-BR-001,2016-06-05,2016-06-26,2016-07-05,Filled,REC0003,2016-10-10
REQ0000111,POS0000112,BR,Retail,Visual Merchandising,Merchandising,Store Operations,IC2,STORE-BR-028,2016-07-18,2016-08-08,2016-08-16,Filled,REC0001,2016-10-05
REQ0000112,POS0000113,BR,Retail,Regional Operations,Region Southeast,Store Operations,IC1,STORE-BR-001,2016-08-14,2016-08-15,2016-08-22,Filled,REC0003,2016-10-02
REQ0000113,POS0000114,BR,Customer,Customer Operations,Order Support,Customer Support,IC1,SITE-BR-003,2016-09-10,2016-09-12,2016-09-18,Filled,REC0003,2016-10-11
REQ0000114,POS0000115,BR,Digital,Product,Product Ops,Product Management,IC5,HQ-BR-001,2016-03-10,2016-04-02,2016-04-21,Filled,REC0003,2016-10-07
REQ0000115,POS0000116,BR,Corporate,People,Talent Acquisition,People,IC1,HQ-BR-001,2016-07-21,2016-07-31,2016-07-31,Filled,REC0003,2016-10-05
REQ0000116,POS0000117,BR,Retail,Visual Merchandising,Merchandising,Design,IC1,STORE-BR-029,2016-08-14,2016-08-15,2016-08-22,Filled,REC0004,2016-10-06
REQ0000117,POS0000118,BR,Retail,Visual Merchandising,Merchandising,Store Operations,IC1,STORE-BR-019,2016-07-18,2016-07-28,2016-08-03,Filled,REC0003,2016-10-13
REQ0000118,POS0000119,BR,Customer,Customer Service,Contact Center,Customer Support,IC1,SITE-BR-003,2016-08-04,2016-08-12,2016-08-13,Filled,REC0005,2016-10-09
REQ0000119,POS0000120,BR,Retail,Sales,Key Accounts,Sales,IC1,STORE-BR-041,2016-07-22,2016-08-03,2016-08-11,Filled,REC0003,2016-10-01
REQ0000120,POS0000121,BR,Retail,Sales,Key Accounts,Sales,IC1,STORE-BR-010,2016-08-22,2016-09-01,2016-09-05,Filled,REC0002,2016-10-13
REQ0000121,POS0000122,BR,Retail,Regional Operations,Region South,Store Operations,IC1,STORE-BR-021,2016-07-08,2016-07-18,2016-07-24,Filled,REC0001,2016-10-07
REQ0000122,POS0000123,BR,Supply Chain,Planning,Demand Planning,Data,M2,DC-BR-005,2016-05-26,2016-06-15,2016-06-21,Cancelled,REC0003,
REQ0000123,POS0000124,BR,Retail,Store Operations,Store Management,Store Operations,IC2,STORE-BR-026,2016-07-03,2016-07-06,2016-07-11,Cancelled,REC0005,
REQ0000124,POS0000125,BR,Retail,Sales,Key Accounts,Sales,IC1,STORE-BR-008,2016-09-06,2016-09-07,2016-09-09,Filled,REC0005,2016-11-06
REQ0000125,POS0000126,BR,Retail,Visual Merchandising,Merchandising,Store Operations,IC1,STORE-BR-011,2016-09-09,2016-09-13,2016-09-15,Filled,REC0004,2016-11-09
REQ0000126,POS0000127,AR,Retail,Visual Merchandising,Store Design,Store Operations,IC1,STORE-AR-009,2016-09-15,2016-09-18,2016-09-22,Filled,REC0003,2016-11-02
REQ0000127,POS0000128,BR,Retail,Visual Merchandising,Merchandising,Design,M1,STORE-BR-038,2016-07-11,2016-08-04,2016-08-22,Filled,REC0005,2016-11-06
REQ0000128,POS0000129,BR,Corporate,Strategy,PMO,Strategy,IC3,HQ-BR-001,2016-08-28,2016-09-04,2016-09-14,Filled,REC0003,2016-11-08
REQ0000129,POS0000130,BR,Retail,Regional Operations,Region Southeast,General Management,IC1,STORE-BR-008,2016-09-06,2016-09-09,2016-09-16,Filled,REC0003,2016-11-06
REQ0000130,POS0000131,BR,Digital,Data,Data Science,Data,IC3,HQ-BR-001,2016-09-11,2016-09-12,2016-09-16,Filled,REC0004,2016-11-12
REQ0000131,POS0000132,BR,Retail,Regional Operations,Region North,Store Operations,IC1,STORE-BR-039,2016-08-20,2016-08-29,2016-09-04,Filled,REC0001,2016-11-10
REQ0000132,POS0000133,BR,Retail,Visual Merchandising,Merchandising,Design,IC1,STORE-BR-001,2016-09-10,2016-09-15,2016-09-19,Filled,REC0003,2016-11-09
REQ0000133,POS0000134,AR,Customer,Customer Operations,Order Support,Customer Support,IC2,SITE-AR-001,2016-06-09,2016-06-20,2016-06-20,Filled,REC0002,2016-11-05
REQ0000134,POS0000135,BR,Retail,Visual Merchandising,Store Design,Design,IC1,STORE-BR-016,2016-08-23,2016-08-30,2016-09-03,Filled,REC0005,2016-11-12
REQ0000135,POS0000136,BR,Digital,Data,Analytics Engineering,Data,IC1,HQ-BR-001,2016-09-22,2016-10-02,2016-10-04,Filled,REC0003,2016-11-07
REQ0000136,POS0000137,BR,Retail,Visual Merchandising,Merchandising,Design,IC2,STORE-BR-012,2016-07-31,2016-08-21,2016-08-28,Filled,REC0003,2016-11-09
REQ0000137,POS0000138,BR,Retail,Store Operations,Stockroom,Store Operations,M2,STORE-BR-022,2016-06-21,2016-07-15,2016-07-19,Filled,REC0002,2016-11-01
REQ0000138,POS0000139,BR,Corporate,Data & Analytics,Business Intelligence,Data,IC1,HQ-BR-001,2016-09-26,2016-10-02,2016-10-02,Filled,REC0004,2016-11-13
REQ0000139,POS0000140,BR,Supply Chain,Planning,Demand Planning,Logistics,IC1,DC-BR-004,2016-09-03,2016-09-10,2016-09-13,Filled,REC0004,2016-11-01
REQ0000140,POS0000141,AR,Retail,Regional Operations,Region Southeast,General Management,IC2,STORE-AR-006,2016-08-26,2016-09-04,2016-09-18,Filled,REC0002,2016-11-09
REQ0000141,POS0000142,AR,Retail,Sales,Floor Sales,Sales,IC1,STORE-AR-002,2016-09-17,2016-09-29,2016-10-07,Filled,REC0003,2016-11-10
REQ0000142,POS0000143,BR,Retail,Sales,Key Accounts,Sales,IC1,STORE-BR-036,2016-08-29,2016-09-07,2016-09-15,Filled,REC0005,2016-11-14
REQ0000143,POS0000144,BR,Corporate,Data & Analytics,Business Intelligence,Data,M2,HQ-BR-001,2016-06-28,2016-07-10,2016-07-16,Filled,REC0002,2016-11-14
REQ0000144,POS0000145,AR,Customer,Customer Service,Chat,Customer Support,IC2,SITE-AR-001,2016-07-06,2016-07-23,2016-07-30,Filled,REC0001,2016-11-09
REQ0000145,POS0000146,BR,Supply Chain,Procurement,Supplier Management,Procurement,IC1,DC-BR-002,2016-08-29,2016-09-05,2016-09-13,Filled,REC0003,2016-11-06
REQ0000146,POS0000147,AR,Retail,Store Operations,Store Management,Store Operations,IC2,STORE-AR-007,2016-06-23,2016-07-08,2016-07-14,Filled,REC0001,2016-11-05
REQ0000147,POS0000148,BR,Customer,Customer Operations,Returns,Logistics,IC1,SITE-BR-001,2016-09-18,2016-09-19,2016-09-23,Filled,REC0004,2016-11-08
REQ0000148,POS0000149,BR,Customer,Customer Experience,Voice of Customer,Customer Support,IC1,SITE-BR-001,2016-09-17,2016-09-19,2016-09-20,Filled,REC0003,2016-11-05
REQ0000149,POS0000150,BR,Supply Chain,Procurement,Supplier Management,Procurement,IC2,DC-BR-005,2016-07-22,2016-08-05,2016-08-19,Filled,REC0001,2016-11-12
REQ0000150,POS0000151,BR,Corporate,Finance,FP&A,Finance,IC3,HQ-BR-001,2016-08-27,2016-08-31,2016-09-10,Filled,REC0005,2016-11-05
REQ0000151,POS0000152,BR,Supply Chain,Distribution Centers,Inbound,Warehouse,IC3,DC-BR-004,2016-08-25,2016-08-29,2016-09-02,Filled,REC0002,2016-11-08
REQ0000152,POS0000153,BR,Retail,Regional Operations,Region North,Store Operations,IC3,STORE-BR-029,2016-08-04,2016-08-19,2016-09-01,Filled,REC0001,2016-11-10
REQ0000153,POS0000154,BR,Retail,Store Operations,Store Management,Store Operations,IC3,STORE-BR-027,2016-07-01,2016-07-13,2016-07-27,Filled,REC0003,2016-11-02
REQ0000154,POS0000155,BR,Customer,Customer Experience,CX Design,Design,IC1,SITE-BR-003,2016-08-23,2016-09-01,2016-09-03,Filled,REC0001,2016-11-13
REQ0000155,POS0000156,BR,Customer,Customer Service,Contact Center,Customer Support,IC1,SITE-BR-002,2016-09-18,2016-09-30,2016-10-03,Filled,REC0003,2016-11-03
REQ0000156,POS0000157,BR,Retail,Visual Merchandising,Store Design,Store Operations,IC2,STORE-BR-012,2016-08-06,2016-08-17,2016-08-27,Filled,REC0003,2016-11-08
REQ0000157,POS0000158,BR,Customer,Customer Operations,Order Support,Logistics,IC1,SITE-BR-004,2016-09-24,2016-10-05,2016-10-05,Filled,REC0005,2016-11-05
REQ0000158,POS0000159,BR,Corporate,Risk,Internal Audit,Risk & Compliance,IC1,HQ-BR-001,2016-09-21,2016-10-03,2016-10-07,Filled,REC0001,2016-11-12
REQ0000159,POS0000160,BR,Retail,Visual Merchandising,Store Design,Store Operations,IC1,STORE-BR-043,2016-08-30,2016-09-05,2016-09-08,Filled,REC0004,2016-11-12
